Id,ParentId,ChildrenIds,DoIds,level
root,,"['서울', '경기']",[],0
경기,root,"['고양', '과천', '광명', '광주', '구리', '군포', '김포', '남양주', '동두천', '부천', '성남', '수원', '안산', '안양', '양주', '여주', '오산', '용인', '의왕', '의정부', '이천', '파주', '평택', '하남', '화성']",[],1
서울,root,"['가평군', '강남구', '강동구', '강북구', '강서구', '계양구', '관악구', '광진구', '구로구', '금천구', '남구', '남동구', '노원구', '도봉구', '동구', '동대문구', '동작구', '마포구', '부평구', '서구', '서대문구', '서초구', '성동구', '성북구', '송파구', '양천구', '양평군', '연수구', '영등포구', '영통구', '용산구', '은평구', '종로구', '중구', '중랑구']",[],1
가평군,서울,[],"['가평읍', '청평면']",2
강남구,서울,[],"['논현1동', '삼성2동', '역삼1동', '일원본동', '논현2동', '도곡1동', '청담동', '수서동', '일원1동', '일원2동', '신사동']",2
강동구,서울,[],"['둔촌1동', '성내1동', '암사3동', '천호1동', '둔촌2동', '성내2동', '천호2동', '천호3동', '명일1동', '암사2동', '명일2동', '성내3동', '암사1동']",2
강북구,서울,[],"['번2동', '수유1동', '번3동', '수유2동', '삼각산동', '수유3동', '삼양동', '미아동', '우이동', '송중동', '인수동', '번1동', '송천동']",2
강서구,서울,[],"['가양2동', '발산1동', '염창동', '화곡6동', '가양3동', '우장산동', '공항동', '화곡8동', '화곡본동', '방화1동', '화곡1동', '화곡2동', '방화2동', '등촌1동']",2
계양구,서울,[],"['계산1동', '계산2동', '작전2동']",2
관악구,서울,[],"['난향동', '삼성동', '서림동', '서원동', '성현동', '신사동', '은천동', '조원동', '중앙동', '청림동', '남현동', '인헌동', '행운동', '신림동', '청룡동', '신원동', '대학동', '미성동', '난곡동', '보라매동']",2
광진구,서울,[],"['구의2동', '자양1동', '중곡3동', '광장동', '구의3동', '자양2동', '중곡4동', '자양3동', '구의1동', '군자동', '자양4동', '화양동', '능동', '중곡1동', '중곡2동']",2
구로구,서울,[],"['개봉2동', '구로3동', '구로5동', '수궁동', '오류1동', '신도림동', '개봉3동', '오류2동', '구로4동', '고척1동', '고척2동', '구로1동', '구로2동']",2
금천구,서울,[],"['독산2동', '시흥1동', '시흥2동', '가산동', '독산3동', '시흥3동', '시흥4동', '독산4동', '독산1동', '시흥5동']",2
남구,서울,[],"['주안4동', '주안5동', '도화1동', '문학동', '숭의2동', '용현5동', '주안2동']",2
남동구,서울,[],"['간석1동', '간석3동', '간석4동', '구월2동', '구월3동', '논현1동', '논현고잔동', '만수1동', '만수5동', '장수서창동']",2
노원구,서울,[],"['공릉1동', '상계3.4동', '월계2동', '하계1동', '하계2동', '공릉2동', '상계5동', '월계3동', '중계1동', '상계10동', '상계6.7동', '상계1동', '상계8동', '중계2.3동', '상계2동', '상계9동', '중계4동', '중계본동', '월계1동']",2
도봉구,서울,[],"['방학3동', '창2동', '창3동', '쌍문1동', '창4동', '쌍문2동', '창5동', '도봉1동', '쌍문3동', '도봉2동', '쌍문4동', '방학1동', '창1동', '방학2동']",2
동구,서울,[],"['금창동', '송현1.2동']",2
동대문구,서울,[],"['장안2동', '청량리동', '용신동', '회기동', '전농1동', '이문1동', '휘경1동', '전농2동', '휘경2동', '이문2동', '답십리1동', '제기동', '답십리2동']",2
동작구,서울,[],"['사당1동', '사당2동', '상도1동', '신대방2동', '상도2동', '흑석동', '노량진1동', '사당3동', '상도3동', '사당4동', '상도4동', '노량진2동', '사당5동', '신대방1동']",2
마포구,서울,[],"['도화동', '망원1동', '서교동', '아현동', '연남동', '망원2동', '성산1동', '공덕동', '상암동', '염리동', '성산2동', '용강동', '서강동', '신수동', '합정동']",2
부평구,서울,[],"['부평4동', '갈산2동', '산곡2동', '부개2동', '삼산1동', '부개3동', '부평1동', '삼산2동', '부평2동', '십정2동', '갈산1동']",2
서구,서울,[],"['가좌3동', '석남3동', '연희동', '가좌4동', '검단1동', '검단3동', '검단4동', '검단5동', '검암경서동', '석남2동', '가정1동']",2
서대문구,서울,[],"['남가좌1동', '북가좌2동', '연희동', '충현동', '홍은1동', '홍제1동', '북아현동', '홍제2동', '천연동', '남가좌2동', '신촌동', '홍은2동', '북가좌1동']",2
서초구,서울,[],"['양재1동', '양재2동', '잠원동', '서초3동', '서초4동', '내곡동', '반포3동', '반포2동', '반포4동', '반포본동', '방배4동', '방배2동', '방배3동', '서초1동']",2
